#{"t_start": 1787492210.9773057, "env_id": "None"}
r,l,t
-55.328793,880,6.911678
-53.680742,369,9.914389
-17.225878,2500,20.292181
19.981892,2500,32.329799
73.066462,2500,42.083404
194.748487,2500,52.003818
212.535304,2500,63.428044
185.633613,2500,73.947843
196.23718,2500,85.029988
242.018805,2500,95.365005
39.67835,1459,102.547924
262.78999,2500,113.125421
305.356183,2454,126.225801
192.681158,2279,137.286443
287.359977,2500,147.37576
285.438934,2500,159.953762
360.043042,2500,172.055845
330.648894,2500,183.981098
339.661563,2500,195.457529
331.469833,2500,207.316887
347.749449,2500,219.42202
338.291952,2500,232.091493
307.133721,2500,245.706168
354.512435,1886,258.755436
409.443816,2500,273.261451
140.430921,1551,282.943083
381.76452,2500,295.752353
373.809995,2080,305.722948
355.268074,2045,314.660289
431.154945,2335,324.327311
393.629116,1601,331.891968
406.384194,1950,341.459747
393.404506,1865,350.015353
364.378391,2047,359.854126
356.70831,2500,372.517572
376.99577,1355,378.067153
352.15552,1608,387.071456
381.353605,1835,396.158896
371.949899,2136,405.891545
409.493529,2248,419.000871
381.144213,2500,436.037571
420.241449,2284,448.110974
372.20255,1638,454.629688
431.564731,2500,466.808923
391.685376,2500,478.880039
417.329026,2322,489.647002
434.429701,2500,501.760437
452.527126,2500,512.025229
417.649061,2500,525.031873
425.569103,2460,535.906462
161.250524,877,539.888533
423.388901,2500,550.966603
61.166783,1110,556.405455
447.203931,2341,568.54712
408.698966,2246,579.283529
389.866949,1367,585.914712
402.568188,2500,599.502174
406.728491,1347,606.181008
396.676263,1439,613.199512
407.948994,1310,620.930402
393.813383,1402,627.58417
575.814744,1196,633.250124
373.96368,1424,640.141646
435.928822,2500,649.910565
419.215275,1516,657.566305
408.291759,1396,663.250275
402.250941,2035,672.795672
376.190613,1487,678.573134
400.926998,2500,692.644038
398.585633,2311,706.658865
392.274466,2101,717.886829
387.688346,2451,730.718799
350.316371,1669,737.49287
438.696648,2270,748.079769
323.971019,2451,760.217675
419.627329,2241,770.393115
293.317274,1146,775.749786
373.655014,1473,784.236592
355.604407,2439,795.706108
408.777849,1897,804.782339
359.953048,2379,815.354577
410.536061,2500,828.621659
357.958909,1528,835.442974
435.107475,1598,844.031173
401.064218,1606,850.812795
412.840285,2080,860.720267
415.48238,1665,869.718462
424.608491,2500,880.580269
427.183802,1652,888.791702
356.715489,1611,896.215803
411.341351,2085,909.201926
419.136444,1606,919.561648
417.735854,2500,931.923007
422.924418,2500,946.970678
423.184843,2500,960.794368
413.075672,1932,972.384832
404.909147,2500,987.869803
377.592589,2500,999.578912
428.60361,1876,1008.676975
433.123798,2500,1019.121315
428.935822,1545,1026.225935
392.363864,1319,1031.406255
413.080872,1416,1038.774822
419.476586,2500,1050.508023
341.194096,2500,1063.312386
398.608065,1507,1072.780864
412.713699,1968,1081.839427
398.59014,1281,1087.59193
380.426844,1275,1093.463041
418.569123,1570,1101.632067
449.88121,2500,1113.324613
381.537601,1690,1121.163321
381.600052,1828,1129.843612
397.172927,1573,1135.672067
406.032968,1599,1143.221825
423.207679,2500,1153.083395
421.805697,2500,1166.017337
346.096732,2473,1177.64915
395.621167,1748,1186.127742
378.251301,1348,1192.220945
390.086242,1786,1200.985208
362.061593,1275,1206.132668
414.194211,2379,1215.822248
