#{"t_start": 1787492210.8832614, "env_id": "None"}
r,l,t
-57.821831,461,5.706312
-59.139249,365,6.807938
-65.745728,464,10.142323
-61.374772,361,11.342114
-54.670067,493,14.2329
-38.422037,2108,23.118106
-54.782448,462,24.621284
-50.70486,2500,36.418614
88.607145,2500,46.354215
116.78486,2500,56.267762
142.439654,2500,67.958721
206.652449,2500,78.091658
223.896793,2500,89.611242
249.302294,2500,99.742215
226.062897,2211,109.346366
284.787709,2500,122.537033
318.717542,2500,133.552176
143.548432,1244,139.410831
257.118927,2145,150.251479
315.507059,2500,161.520499
357.992992,2500,173.212926
349.063267,2500,185.38791
266.274859,1779,194.370036
357.565726,2500,206.322046
66.4549,2256,215.973214
367.098681,2500,230.322242
351.670413,2500,242.486523
400.508949,2500,258.927851
409.116092,2124,271.692177
359.189493,2077,283.681282
386.414891,2424,296.351486
390.41606,1850,305.45881
370.688203,2292,315.07254
394.361715,1984,323.800501
388.187933,2500,334.062208
381.448922,2500,346.604845
378.947945,2500,357.430961
352.783852,1545,367.006444
372.738984,2136,377.087169
415.291625,2293,388.198227
397.249033,1757,396.931531
334.304385,2336,407.257838
403.089585,1731,418.785438
428.013397,2500,435.77881
419.870706,1905,445.459661
443.093467,2119,454.785508
393.939155,2226,464.233533
385.329215,1365,473.017579
446.961358,1805,481.812413
395.785313,2245,492.328917
435.021298,1514,498.503428
425.895798,2500,510.343636
549.933302,1997,520.357656
386.556687,2500,531.056021
438.232135,1717,539.129774
82.566325,665,541.235003
57.330887,785,544.902226
430.289413,2500,558.442914
441.14117,2500,569.312445
388.167677,1410,575.391472
363.501924,1533,584.34757
408.626962,1387,591.163775
367.212777,1629,599.909022
391.299551,1512,607.117832
432.382136,1663,616.484027
394.977357,1467,623.197994
404.541585,1912,633.164794
354.359828,2091,641.913538
405.961264,2500,653.264393
426.685427,1776,660.248825
414.936453,2500,672.679404
420.77315,2172,681.952575
427.911348,1973,693.040827
409.583173,1999,705.82708
384.80618,2157,717.455199
418.424236,2500,728.863585
429.035474,2118,738.800898
358.956975,1289,746.070307
322.713191,1403,751.938692
378.583945,1625,760.056508
388.720801,1805,767.503881
395.066987,2500,780.560841
385.470634,2500,792.315706
369.538727,1711,800.943793
432.572946,1569,809.055084
390.896662,1821,816.280203
233.222599,2343,828.999599
383.736687,1962,839.164534
398.644926,1599,845.824769
353.45181,2253,856.076315
422.436605,1506,864.7759
472.694721,2500,875.745013
373.185924,1800,884.549492
413.422612,1519,890.851968
426.596695,1714,901.725171
353.54768,1443,911.555378
425.545531,1897,921.495653
411.299577,1672,930.482297
409.27849,2500,943.647048
424.302837,2500,959.091952
406.07106,2500,972.820049
449.721751,2500,988.338497
359.907797,2160,998.846913
391.390644,1225,1004.475965
156.747064,745,1008.285325
407.239419,1365,1013.978147
413.569493,1656,1021.683748
410.705253,1431,1027.018197
360.44198,1708,1035.0128
420.556955,2268,1045.625678
389.203047,1997,1055.508358
406.465116,1355,1062.863893
428.532945,1654,1072.879296
417.701364,2472,1083.490737
380.376567,1295,1091.272538
365.230303,1269,1096.568187
359.887388,2222,1107.516757
388.02602,2203,1117.328556
428.412248,1721,1125.524667
418.808206,1872,1133.990252
361.651508,2380,1143.711022
418.484768,2500,1153.665338
344.59383,1189,1160.432592
412.779727,2166,1171.140524
372.389131,1445,1177.656832
433.059563,1797,1186.297973
363.871007,1941,1195.616002
409.043975,1958,1204.882567
371.965274,1418,1210.343172
401.960344,2420,1220.308085
