#{"t_start": 1787492210.889598, "env_id": "None"}
r,l,t
-48.320567,588,6.119838
-38.044979,395,7.351325
-55.858533,373,10.385514
-36.884141,588,12.234144
20.440023,2500,23.776551
-30.717419,1476,29.82907
28.351554,2500,41.214035
184.757997,2500,51.169034
126.49638,2500,62.624989
202.953297,2500,73.123139
149.36838,2241,82.062781
228.336003,2500,93.886058
-6.002684,1439,99.415718
198.035201,2023,108.360824
294.370779,2500,119.733948
255.741416,1880,128.795045
24.257739,847,133.345326
231.304915,2472,145.433037
294.615577,2500,156.166736
296.640568,2500,168.77705
142.270448,1821,177.343959
345.853964,2500,189.902407
332.452971,2500,201.920213
349.464378,2500,214.037246
380.724952,2500,226.060868
363.86981,2500,238.335275
129.601971,1695,247.927504
302.578251,1382,256.250972
287.387924,1802,267.697293
362.259339,2145,280.428638
341.366033,2500,295.040294
382.435641,1922,304.781539
377.58776,2014,313.626659
396.842562,2191,322.921393
415.957645,2500,333.004206
418.928528,2167,343.182499
378.006547,1729,351.419286
374.150436,1973,361.336769
399.42163,2087,372.460129
383.888208,1900,381.638734
144.760831,950,386.657252
374.678155,1662,393.73814
348.244032,1962,402.698334
394.748038,1588,411.529453
421.158996,2500,427.442695
401.504277,1852,440.584191
395.692088,2274,450.313854
434.510836,2500,462.163373
427.598547,1553,469.30858
446.657809,2500,482.458493
550.423088,1705,489.639089
424.102156,2500,501.763498
446.9795,2500,512.026812
416.329546,1878,521.652732
430.546307,2500,534.030936
36.929316,802,536.505928
432.486805,2398,548.323644
343.859947,1777,556.066194
350.972685,1533,564.153905
407.455319,1684,572.285542
368.124618,2110,583.180762
427.993353,2500,595.060412
410.710988,1504,602.429327
433.289096,1850,612.671589
371.566682,2334,625.728349
429.282081,1969,633.95612
423.576255,1756,641.749969
416.25239,2500,653.11106
371.112419,1890,660.413972
371.494752,1909,669.266426
382.309156,1530,677.072542
380.896062,1568,683.705567
406.998386,1966,694.856131
421.030418,2500,710.955275
418.41985,1517,718.203087
411.372877,1684,727.038772
402.504215,2500,738.095952
375.450384,1991,747.742538
313.550486,1864,756.212308
381.793678,2500,769.124398
386.173685,2318,780.134069
394.748769,1596,787.114121
410.352729,1310,794.877615
378.598066,2500,805.785041
374.305831,1740,814.451912
388.730799,1537,821.382259
435.136103,2500,834.439873
348.408784,2125,844.78039
341.279709,1532,851.337738
396.919146,2500,864.564583
425.086562,2500,875.554296
402.144,2500,887.932504
394.227798,1393,894.217566
444.38761,2500,908.975019
453.26824,2500,924.785035
434.205137,2500,937.078004
421.535401,2500,952.002717
404.669985,2038,964.326858
396.700852,2213,977.025252
426.231358,1384,984.826057
410.724507,2177,994.830389
380.926389,1885,1004.753984
423.867796,2500,1016.879913
400.775071,2499,1026.758298
417.921318,1504,1033.972968
420.638454,1504,1040.237714
422.219094,1856,1049.965054
366.436675,1365,1056.101708
437.891078,1848,1067.179613
356.999312,1664,1076.618923
388.627502,1586,1082.760613
371.19518,1897,1092.408744
408.105897,1434,1098.454093
373.279894,1628,1107.339926
368.818415,1564,1115.277597
404.450445,2500,1125.786921
416.633584,2408,1135.745929
398.543327,1769,1143.743286
426.5558,2500,1153.706852
394.928581,1532,1161.626503
427.582681,2500,1173.287505
413.032035,2500,1186.152908
374.101243,1417,1192.43985
410.927014,2500,1204.781494
418.652514,2500,1214.72117
432.152071,2129,1224.015998
