#{"t_start": 1787491534.415203, "env_id": "None"}
r,l,t
-48.320567,588,7.314436
-38.044979,395,8.964285
-55.858533,373,14.246241
-36.884141,588,16.925671
20.440023,2500,38.701268
-30.717419,1476,48.015341
28.351554,2500,66.352665
184.757997,2500,79.816597
126.49638,2500,95.228019
202.953297,2500,106.070304
149.36838,2241,116.715914
228.336003,2500,129.748757
-6.002684,1439,136.030383
198.035201,2023,148.010596
294.370779,2500,161.659551
255.741416,1880,172.784323
24.257739,847,177.432549
231.304915,2472,190.40536
294.615577,2500,202.203837
296.640568,2500,213.393908
142.270448,1821,223.503906
345.853964,2500,236.123403
332.452971,2500,247.557946
349.464378,2500,259.500221
380.724952,2500,269.665783
363.86981,2500,279.7236
203.318235,1090,285.609243
336.70942,2500,297.984698
380.2294,2500,309.987843
479.68631,2314,323.504827
341.905147,1537,329.936286
335.78963,2277,341.235151
353.096915,2386,353.691713
344.116515,2361,368.413627
397.820771,1982,379.492911
491.018534,1600,387.331933
395.970227,1836,395.342618
381.423789,1531,404.045406
502.37385,1048,409.650584
515.685114,1196,414.670394
179.951868,925,418.843617
353.738685,2303,429.07613
487.865813,1867,440.139318
341.125322,1956,449.302588
396.354938,2500,459.455372
358.958346,1817,468.033977
350.062931,2225,479.756486
480.817348,2065,489.809769
502.695957,1368,496.564627
517.909774,1216,501.975324
503.931643,983,506.163471
497.918396,1358,511.583405
485.192307,1804,519.594844
488.580025,929,524.100731
488.82086,880,528.788776
330.392666,2409,539.611624
504.306846,1005,544.477504
482.197899,2309,554.983893
453.844643,1626,563.601732
324.90478,1593,570.874386
480.326023,871,575.176983
478.137549,1002,580.096268
487.557542,865,584.47201
490.540149,1569,593.628268
350.50246,1446,599.737404
487.546969,876,603.896691
473.617826,1442,609.980915
504.964097,998,614.741298
485.167185,857,619.300412
477.641595,757,623.45542
489.366992,861,627.951099
485.791703,906,632.6215
487.53351,870,635.369947
487.245189,899,640.148856
476.521338,806,644.449109
491.524766,915,649.233176
478.789682,799,653.300317
473.36087,840,657.959606
