#{"t_start": 1787491534.3654218, "env_id": "None"}
r,l,t
-57.821831,461,6.740319
-59.139249,365,8.417707
-65.745728,464,14.028682
-61.374772,361,15.461245
-54.670067,493,21.009734
-38.422037,2108,36.837031
-54.782448,462,40.435259
-50.70486,2500,57.953234
88.607145,2500,73.568771
116.78486,2500,88.474956
142.439654,2500,100.804431
206.652449,2500,111.877624
223.896793,2500,125.397299
249.302294,2500,136.513016
226.062897,2211,149.317663
284.787709,2500,164.575344
318.717542,2500,177.721912
143.548432,1244,183.047683
257.118927,2145,195.593024
315.507059,2500,207.132221
357.992992,2500,219.010522
349.063267,2500,231.932425
266.274859,1779,240.942708
357.565726,2500,251.955519
66.4549,2256,261.483956
367.098681,2500,273.075416
343.236118,2500,283.146505
219.423795,1520,290.633474
492.736159,2099,301.982169
340.972937,2500,314.667148
352.168096,2500,328.094092
362.620156,2284,339.340899
352.044149,2029,349.109832
42.511172,637,351.235102
348.575276,1491,361.762373
498.712105,1363,369.211578
501.893561,1241,376.004382
290.525759,2500,388.545111
357.363268,1726,397.851096
378.809507,1729,405.78609
367.342203,2013,415.215969
131.561047,774,418.972614
336.810252,1761,427.55123
496.023076,1765,435.82321
496.490969,1106,441.832399
508.592878,1529,449.549145
511.921295,1688,457.378224
485.22726,2326,467.368162
511.052638,1148,472.751495
374.290759,2248,485.214113
498.162641,1690,492.782394
507.860456,1064,497.461178
492.352789,1480,503.443343
489.109678,970,507.66544
499.754731,1109,512.339957
491.542528,963,516.55729
492.685786,921,520.700175
503.881625,1872,530.055987
271.004128,2458,541.082855
482.803199,1529,549.098814
501.471979,1260,554.735434
489.942531,1550,563.092458
475.552148,1433,569.994904
332.331462,2443,581.01271
484.076497,877,585.377979
479.590931,954,590.568879
366.359697,1983,600.377509
478.23501,790,604.269707
484.920568,1464,610.47777
484.985903,1021,615.338463
479.049097,812,619.664843
484.882577,989,624.573098
488.396493,910,629.497263
483.492944,855,633.907617
481.846883,815,638.020676
477.742467,812,640.780208
476.520159,793,645.048146
480.561351,802,649.508275
473.647569,884,653.864255
471.600805,810,658.401423
