#{"t_start": 1787491534.3864286, "env_id": "None"}
r,l,t
-25.650924,381,6.377609
-90.147578,1333,15.728095
-14.91304,687,23.11459
-22.469656,1678,33.756152
-47.378291,1591,47.069834
60.404619,1493,55.59722
119.060658,2500,73.337849
207.448443,2500,88.274016
61.406278,2500,100.623933
186.564199,2500,111.657191
118.07659,2500,125.234756
240.024931,2284,135.481125
183.407547,2269,148.399316
227.077682,1512,158.148615
174.097938,2500,171.834547
231.267505,1970,181.68213
292.510127,2205,192.54155
43.819449,893,197.204135
312.150446,2500,208.537065
296.945062,2500,222.389333
374.84892,2500,233.547988
347.403623,2500,246.185499
345.599458,2500,256.747388
231.146013,2500,268.716343
466.788503,2226,277.802747
315.690786,2284,287.266368
344.067982,2500,301.490384
340.668601,2500,314.047889
378.370079,2500,325.938515
480.368502,2198,338.514073
373.223435,2500,349.840029
480.746506,1990,362.099927
496.770353,1959,374.305783
338.166746,2500,385.081109
518.662578,2116,395.53648
231.313297,1485,404.061682
353.108669,1538,411.028089
337.282988,2239,420.619178
357.183312,2500,434.083898
500.060394,1527,441.720354
492.816379,2421,453.479313
358.007074,2500,463.861184
500.323626,2098,473.969166
501.714156,1066,479.973803
335.092585,1807,489.253276
491.371416,1190,493.957495
508.131504,1070,498.743922
487.888953,948,503.137458
502.921707,1199,508.004592
483.706614,1863,516.313043
489.453161,1393,523.521172
503.431693,1051,528.725014
354.265804,2033,538.283936
489.200072,1729,545.433821
490.826292,898,549.784509
484.623223,914,554.416907
489.18438,1616,562.96141
498.05554,1397,569.673132
485.912452,920,574.105799
487.778288,920,578.551799
481.195382,1708,585.907205
497.610998,1884,595.815851
491.530123,1288,603.060888
487.015422,881,605.822632
478.160101,822,609.850456
486.176781,940,614.47634
487.681107,946,619.314774
485.097639,834,623.734326
486.870242,861,628.19364
458.884376,1460,634.706662
485.825016,836,639.122914
485.665841,907,643.737649
484.437791,862,648.318676
471.831553,766,650.840242
482.922577,862,655.268595
