#{"t_start": 1787491534.3971586, "env_id": "None"}
r,l,t
-55.328793,880,8.575848
-53.680742,369,13.797914
-17.225878,2500,32.189587
19.981892,2500,51.994681
73.066462,2500,67.60163
194.748487,2500,81.424616
212.535304,2500,96.299943
185.633613,2500,107.174306
196.23718,2500,120.487598
242.018805,2500,131.444077
39.67835,1459,140.380733
262.78999,2500,154.277187
305.356183,2454,169.303242
192.681158,2279,180.919204
287.359977,2500,192.637431
285.438934,2500,205.841019
360.043042,2500,217.751809
330.648894,2500,230.708409
339.661563,2500,241.944853
331.469833,2500,253.083012
347.749449,2500,264.734584
338.291952,2500,274.78172
236.030814,2500,286.23569
263.808951,2500,298.79071
319.936337,2447,312.407554
371.236037,2500,324.626188
492.803399,1668,333.219123
394.866999,2500,345.220797
332.100634,2378,357.11657
299.784316,1503,367.495751
499.757202,1171,374.746242
401.400362,2431,385.297916
376.305437,2500,398.859305
511.07842,1161,404.546049
374.231236,1532,411.381076
496.348595,1069,416.061657
524.126008,1317,423.076307
400.740925,2500,435.169849
511.152789,1134,441.414143
480.180727,2018,450.491997
488.380465,1312,457.289466
500.91842,1735,463.963505
498.662512,2091,474.09199
503.303646,1205,480.586258
467.210524,1735,489.509269
498.040337,978,493.621647
497.429229,1277,499.006905
501.272589,973,503.459004
496.294039,1010,507.793175
504.437344,1421,514.789417
482.733163,1500,520.612536
490.068188,959,525.2738
345.535361,2233,535.669196
497.650674,1002,540.534701
497.317831,979,545.301718
492.228877,1189,550.539694
496.10211,1453,558.855177
495.714626,1030,563.644504
485.907029,1603,570.952842
491.005865,1298,578.108032
350.012293,1476,584.652656
501.697262,1621,593.965073
460.054272,1788,601.070529
492.008823,1383,608.457048
480.237356,1095,613.509236
492.20827,928,618.270724
488.921046,853,622.740125
480.537117,842,625.408798
482.270388,870,630.179236
488.073197,899,634.675196
494.731124,913,639.316731
474.679205,791,643.590394
489.910421,884,648.202389
481.74438,835,650.96156
476.440357,822,655.275284
