#{"t_start": 1787137381.6485176, "env_id": "None"}
r,l,t
-57.821831,461,6.657549
-59.139249,365,7.925251
-65.745728,464,12.21881
-61.374772,361,13.726828
-54.670067,493,17.662379
-38.422037,2108,30.655865
-54.782448,462,32.375748
-50.70486,2500,46.816245
88.607145,2500,58.293973
116.78486,2500,70.513283
142.439654,2500,83.686738
206.652449,2500,96.696133
223.896793,2500,110.397197
249.302294,2500,122.417782
226.062897,2211,134.081398
284.787709,2500,149.518552
318.717542,2500,162.03944
143.548432,1244,168.297635
257.118927,2145,180.711623
315.507059,2500,195.419784
357.992992,2500,211.17962
349.063267,2500,230.994143
266.274859,1779,247.179154
357.565726,2500,264.038673
66.4549,2256,278.918224
367.098681,2500,295.668326
343.236118,2500,310.056237
219.423795,1520,321.122226
492.736159,2099,334.201398
340.972937,2500,349.062501
352.168096,2500,366.320623
362.620156,2284,380.202982
352.044149,2029,392.889569
42.511172,637,395.779749
348.575276,1491,406.60871
498.712105,1363,414.697035
501.893561,1241,421.719626
290.525759,2500,438.740017
357.363268,1726,450.225426
378.809507,1729,459.855307
367.342203,2013,471.95666
131.561047,774,477.303868
336.810252,1761,488.649506
496.023076,1765,498.772829
496.490969,1106,505.634923
508.592878,1529,516.687589
511.921295,1688,527.322796
485.22726,2326,539.149441
511.052638,1148,545.215757
374.290759,2248,556.626618
498.162641,1690,566.732921
507.860456,1064,572.357995
492.352789,1480,579.341729
489.109678,970,584.754064
499.754731,1109,591.019929
491.542528,963,596.627521
492.685786,921,602.564332
503.881625,1872,613.505761
271.004128,2458,626.194427
482.803199,1529,636.407293
501.471979,1260,644.114763
489.942531,1550,654.755247
475.552148,1433,662.902608
332.331462,2443,678.452553
484.076497,877,684.596576
479.590931,954,691.086988
366.359697,1983,704.068184
478.23501,790,709.230932
484.920568,1464,716.96659
484.985903,1021,723.095648
479.049097,812,728.528433
484.882577,989,734.460961
488.396493,910,740.279675
483.492944,855,745.666626
481.846883,815,751.009655
477.742467,812,754.404369
476.520159,793,760.029187
480.561351,802,765.46585
473.647569,884,771.167256
471.600805,810,776.373578
472.667798,772,779.498909
476.206426,810,784.891521
479.81152,832,790.154717
471.70588,817,795.665159
486.645364,890,801.259782
475.871146,800,804.500481
474.757533,778,809.681935
469.621759,782,815.079704
471.297266,737,820.134238
473.42538,821,823.634679
467.892756,738,828.523378
466.730766,678,833.157691
468.655587,818,838.425903
471.366756,782,841.790135
468.332703,768,846.99203
466.340639,771,851.948407
474.286504,757,857.184891
465.765829,691,860.192204
465.634918,665,864.917279
468.763633,726,870.139271
466.573962,712,873.236465
467.59599,729,878.228017
470.552857,730,883.32912
468.052356,749,888.433803
461.80833,646,891.146365
462.568116,656,896.115213
467.481977,687,901.070549
463.493669,677,903.829036
464.860297,677,908.666548
461.467034,676,911.725536
466.491689,696,916.23173
464.168391,653,920.985001
462.988625,682,924.171309
465.99452,666,928.820712
461.944148,636,933.50893
466.507355,697,936.57454
462.952927,650,940.985869
461.611134,650,945.466825
464.834418,665,948.437412
461.69471,642,953.031487
466.649151,671,957.575102
463.450284,651,960.134146
463.643509,642,964.823974
462.123644,665,970.124283
461.299129,673,973.143447
462.864978,643,977.67469
463.183409,667,980.574947
457.491006,592,984.765346
461.330811,648,989.621446
457.930203,602,992.187113
464.653482,661,997.128207
460.822851,628,1001.745911
458.122503,629,1004.495636
459.362771,662,1009.170599
458.71798,611,1011.509052
463.346891,638,1015.840537
458.925423,618,1020.429725
455.623926,573,1022.642337
460.106183,640,1027.353335
458.133483,594,1030.082594
455.14803,578,1034.720717
456.048331,581,1039.254001
455.946467,587,1041.768426
459.765569,666,1046.189375
454.52087,570,1048.366207
454.646371,566,1052.750446
454.734027,563,1055.091628
454.201887,560,1059.722845
462.822283,658,1064.493669
459.761254,608,1067.058405
456.988717,575,1071.395529
457.378071,605,1073.981777
454.816237,566,1078.581336
458.232167,595,1081.466789
