#{"t_start": 1787137381.678987, "env_id": "None"}
r,l,t
-55.328793,880,8.07464
-53.680742,369,12.013786
-17.225878,2500,26.057357
19.981892,2500,41.137024
73.066462,2500,53.330736
194.748487,2500,65.589183
212.535304,2500,78.917807
185.633613,2500,91.118128
196.23718,2500,105.57292
242.018805,2500,117.676236
39.67835,1459,125.946065
262.78999,2500,138.92489
305.356183,2454,153.954096
192.681158,2279,165.773284
287.359977,2500,177.575281
285.438934,2500,193.80971
360.043042,2500,209.105705
330.648894,2500,228.126724
339.661563,2500,248.960654
331.469833,2500,265.588662
347.749449,2500,283.455654
338.291952,2500,297.998332
236.030814,2500,314.516011
263.808951,2500,329.818613
319.936337,2447,346.701682
371.236037,2500,361.107957
492.803399,1668,372.832139
394.866999,2500,387.704716
332.100634,2378,402.377959
299.784316,1503,413.355478
499.757202,1171,419.845408
401.400362,2431,434.683136
376.305437,2500,451.581132
511.07842,1161,458.845571
374.231236,1532,467.029347
496.348595,1069,473.481405
524.126008,1317,483.129189
400.740925,2500,497.927796
511.152789,1134,504.907897
480.180727,2018,518.067254
488.380465,1312,527.206799
500.91842,1735,535.205264
498.662512,2091,546.289069
503.303646,1205,552.15976
467.210524,1735,562.260697
498.040337,978,567.843839
497.429229,1277,574.182732
501.272589,973,579.365546
496.294039,1010,584.937926
504.437344,1421,594.07349
482.733163,1500,602.462622
490.068188,959,608.002216
345.535361,2233,620.182098
497.650674,1002,625.590619
497.317831,979,631.070669
492.228877,1189,638.705804
496.10211,1453,649.406442
495.714626,1030,655.299818
485.907029,1603,664.449822
491.005865,1298,674.509172
350.012293,1476,683.549243
501.697262,1621,695.376297
460.054272,1788,705.119666
492.008823,1383,714.699964
480.237356,1095,720.8396
492.20827,928,726.77968
488.921046,853,732.233158
480.537117,842,735.691263
482.270388,870,741.168086
488.073197,899,746.779388
494.731124,913,752.529171
474.679205,791,758.066844
489.910421,884,763.988155
481.74438,835,767.72501
476.440357,822,772.765175
476.862841,775,777.872331
476.008123,751,783.079229
479.777993,877,788.605685
464.316149,922,794.395182
475.510947,770,797.677396
482.231207,862,803.13289
478.757775,853,808.520734
474.805469,793,813.934575
466.896913,782,817.428551
473.717594,792,822.458935
470.478474,825,827.872957
468.030895,748,832.811836
469.317813,733,835.712345
473.035933,787,840.981635
467.12427,740,846.221568
465.722467,685,850.786228
470.811485,731,853.826821
470.116782,704,858.811737
470.183305,726,863.854217
465.89181,723,867.201783
467.629414,681,872.090289
469.702703,703,876.948136
460.952505,711,882.019058
459.458272,665,884.811733
464.400284,684,889.603503
471.72497,838,895.211831
468.192071,706,898.379582
468.522186,695,903.225604
472.190609,735,908.287529
466.370289,697,911.407862
467.855548,689,915.884245
464.470655,671,920.712862
464.167396,699,923.964274
458.539847,623,928.462088
459.708537,622,933.160909
463.703739,677,935.999897
464.476004,688,940.665892
457.86289,608,945.020088
458.416525,613,947.604706
464.567534,669,952.383641
456.372887,612,954.700722
458.999016,630,959.235142
466.778156,674,964.030697
461.560329,637,966.992778
462.267956,633,971.993762
463.330091,684,976.884114
460.730397,637,979.476476
457.711346,663,984.015323
456.743867,600,986.697359
458.066239,591,991.070694
454.862004,573,995.6063
461.442981,630,998.415354
460.264361,621,1002.990729
460.007892,639,1005.751227
460.523707,640,1010.296411
458.877252,627,1014.443412
463.755756,661,1017.172366
459.4045,618,1021.601581
461.616491,616,1026.260505
459.616013,638,1028.903081
455.717686,587,1033.725171
458.697448,605,1036.391563
455.833868,577,1040.968205
459.136216,603,1043.217353
458.740875,594,1047.414683
457.470967,594,1051.883553
453.076797,569,1054.163473
456.132544,596,1058.873634
455.846351,575,1061.37956
463.68444,652,1066.210682
464.297452,674,1070.87167
457.316756,589,1073.397329
457.543746,582,1078.092182
454.655017,588,1080.905014
457.635396,591,1085.434096
463.726516,685,1090.540908
459.435434,606,1093.229593
458.103715,623,1098.089415
462.07947,628,1100.840046
454.544948,565,1105.458066
456.851198,574,1110.053729
460.860988,628,1112.639536
460.505844,618,1117.299603
453.96062,560,1119.897793
458.869589,611,1124.526982
456.161129,566,1127.052986
454.368653,563,1131.32222
458.193744,585,1135.613573
455.607723,561,1137.91459
455.091305,550,1142.184534
453.208184,558,1144.516292
456.96661,582,1148.918761
458.063547,621,1151.948139
452.608889,548,1156.284446
454.88513,564,1158.732295
452.755397,543,1162.928575
459.029672,592,1167.414813
452.369846,544,1169.69224
453.082431,557,1174.297705
451.896922,533,1176.858601
455.383212,591,1181.677022
452.379495,554,1184.135597
454.597456,551,1188.531631
454.902679,561,1190.899464
452.713462,567,1195.245228
453.243684,558,1197.553811
456.279187,581,1201.971187
454.615591,594,1206.354186
452.564864,545,1208.454567
453.26607,557,1212.839798
458.036317,595,1215.231192
452.962664,558,1219.613566
455.164463,570,1222.13772
452.155694,555,1226.353981
454.858528,563,1228.957614
459.4693,607,1233.341239
454.451368,562,1237.767582
454.748623,567,1240.16397
457.568199,588,1244.545116
454.471122,548,1246.803121
456.899289,566,1251.256371
454.855556,562,1253.525027
459.898934,602,1257.927997
456.543151,588,1262.43554
455.421478,563,1264.885513
457.113934,586,1269.6762
451.567993,516,1272.103587
452.028198,521,1276.669781
458.191911,582,1279.131024
453.234555,563,1283.527009
452.402979,529,1285.797343
454.253532,553,1290.175565
455.672719,561,1292.458828
455.616463,554,1296.850694
453.531143,542,1299.353598
456.769274,580,1303.729866
455.889201,570,1308.261435
457.674134,568,1310.741107
455.098351,562,1315.038075
453.288701,553,1317.383335
453.871641,570,1321.809826
454.200232,544,1324.138492
455.376049,553,1328.603437
454.260847,560,1331.202848
452.885048,528,1335.411084
