#{"t_start": 1787137381.6464672, "env_id": "None"}
r,l,t
-25.650924,381,6.299063
-90.147578,1333,13.997911
-14.91304,687,18.622299
-22.469656,1678,27.671416
-47.378291,1591,37.379751
60.404619,1493,44.793291
119.060658,2500,58.140698
207.448443,2500,70.34914
61.406278,2500,83.502508
186.564199,2500,96.502805
118.07659,2500,110.146312
240.024931,2284,121.597749
183.407547,2269,133.399758
227.077682,1512,142.882839
174.097938,2500,156.061638
231.267505,1970,166.650626
292.510127,2205,177.463152
43.819449,893,182.403445
312.150446,2500,197.24948
296.945062,2500,215.631438
374.84892,2500,234.235924
347.403623,2500,255.408286
345.599458,2500,271.217597
231.146013,2500,289.111612
466.788503,2226,302.625153
315.690786,2284,316.201761
344.067982,2500,333.564688
340.668601,2500,348.384036
378.370079,2500,363.481173
480.368502,2198,379.215484
373.223435,2500,393.858106
480.746506,1990,406.960543
496.770353,1959,419.322387
338.166746,2500,434.304307
518.662578,2116,447.453327
231.313297,1485,458.357429
353.108669,1538,466.455283
337.282988,2239,479.973238
357.183312,2500,496.648057
500.060394,1527,505.493029
492.816379,2421,522.476633
358.007074,2500,535.115916
500.323626,2098,546.221905
501.714156,1066,551.609961
335.092585,1807,561.92673
491.371416,1190,568.293485
508.131504,1070,573.900383
487.888953,948,579.008447
502.921707,1199,585.251655
483.706614,1863,596.255955
489.453161,1393,606.005056
503.431693,1051,611.781776
354.265804,2033,623.07072
489.200072,1729,631.257742
490.826292,898,637.518071
484.623223,914,643.68384
489.18438,1616,654.598792
498.05554,1397,662.558671
485.912452,920,668.804272
487.778288,920,675.052908
481.195382,1708,685.388664
497.610998,1884,698.311872
491.530123,1288,707.486584
487.015422,881,711.329399
478.160101,822,716.338561
486.176781,940,722.09677
487.681107,946,728.134904
485.097639,834,733.350458
486.870242,861,738.969768
458.884376,1460,746.846542
485.825016,836,752.270001
485.665841,907,758.281948
484.437791,862,764.119443
471.831553,766,767.5561
482.922577,862,772.778966
475.595483,782,777.912108
474.170553,785,783.26123
468.155513,755,788.34421
478.480704,795,791.5704
471.528249,846,797.164114
473.212649,768,802.271938
471.790771,803,807.301699
479.875706,827,810.89363
473.453092,792,816.343324
478.600259,798,821.501757
463.464632,991,827.615899
475.201185,787,832.707875
467.339259,734,835.602931
468.701991,708,840.505781
472.638922,753,845.914144
466.411414,689,850.461549
466.44896,711,853.392226
466.238708,697,858.359792
473.7761,754,863.566111
467.206398,712,866.731138
470.529442,743,871.959361
474.833956,790,877.201689
464.729811,750,882.464773
462.386452,656,885.225786
467.629804,724,890.160185
465.612845,679,895.078629
470.803445,738,898.382808
460.217491,662,903.091667
463.998081,675,907.89856
460.266203,631,910.726032
464.512838,679,915.134265
460.156168,620,919.802965
461.154825,648,922.691577
463.518747,748,927.892924
462.7759,655,932.737551
465.999776,718,935.654528
463.566834,695,940.446251
461.379852,662,944.987356
460.223221,629,947.637152
465.070946,682,952.480078
467.891326,679,957.02549
460.847113,618,959.540736
464.424642,649,964.221717
461.000224,629,967.225039
456.410218,597,972.01813
462.416979,641,976.762793
461.710572,648,979.380992
457.749185,599,983.684353
461.807854,660,986.558362
461.218511,627,991.098805
458.880815,609,995.806236
456.731139,597,998.460299
454.332596,571,1002.812401
461.006885,619,1005.493348
459.107847,590,1009.926761
457.650757,610,1013.84913
456.437686,594,1016.347772
454.113506,559,1020.73564
459.531295,632,1023.186442
459.967532,613,1027.769184
457.520655,599,1030.5732
452.742768,563,1035.065668
456.872159,593,1039.718406
456.102698,681,1042.480756
454.364651,557,1046.555714
462.319825,645,1049.14976
460.798395,660,1053.763487
461.279541,665,1058.778891
460.380447,654,1061.608841
458.775001,626,1066.353145
455.918901,562,1070.447188
454.776021,560,1072.982514
458.45521,631,1077.823652
458.093667,594,1080.533681
456.871951,572,1085.158284
461.520263,631,1087.991027
459.49049,611,1092.650288
459.96965,624,1097.561256
455.794604,585,1100.035891
453.931895,543,1104.641328
457.629113,599,1107.148245
454.035695,558,1111.612156
463.124708,659,1116.582962
454.617705,568,1118.948544
456.357064,584,1123.605839
454.077426,560,1125.956143
456.463366,580,1130.561007
456.050107,570,1132.778707
457.316183,602,1137.17439
456.180714,606,1141.670748
455.982366,563,1143.999923
454.210478,558,1148.365435
452.717252,536,1150.777725
456.265939,586,1155.496895
453.491214,551,1157.81266
454.243239,555,1162.117829
458.656529,623,1164.711556
458.801627,597,1169.214373
458.811368,592,1174.025656
454.592341,557,1176.691249
452.575144,541,1181.312405
453.619158,538,1183.608703
456.278531,557,1188.129735
454.866625,599,1190.5346
459.529344,615,1195.186632
451.003806,528,1197.338955
452.407792,553,1201.689847
453.457607,554,1203.881509
458.737712,592,1208.222855
452.220784,529,1212.437969
455.709753,562,1214.661318
456.410488,605,1219.323066
451.539963,539,1221.601459
457.577709,582,1226.041323
455.370278,551,1228.455709
451.431972,518,1232.534688
453.846358,561,1234.852716
457.458095,585,1239.443322
458.847379,591,1243.897642
454.480655,550,1246.139704
458.743884,586,1250.652339
454.387243,561,1252.925863
453.239155,545,1257.135443
455.497984,563,1259.483221
452.865564,531,1263.812846
458.651677,614,1266.62535
457.139124,591,1271.331811
453.668932,533,1274.091404
455.130017,562,1278.382891
456.052807,574,1282.928144
456.345234,566,1285.320641
457.200283,583,1289.781408
453.131826,586,1292.237461
450.811128,526,1296.450328
452.845138,536,1298.929676
454.820214,551,1303.251983
457.390623,605,1305.957803
454.917917,547,1310.225943
454.018027,544,1314.474163
449.980235,502,1316.605096
456.633374,613,1321.235256
454.926948,561,1323.524113
458.51244,590,1328.27605
458.406604,578,1330.818976
453.49052,549,1335.246076
452.085239,538,1337.73705
455.475585,554,1342.241588
448.80307,504,1344.434073
451.338226,505,1348.568273
453.018858,517,1350.619516
458.602701,588,1355.171783
452.471941,554,1359.602095
455.005152,569,1362.195309
454.681919,582,1367.11341
453.34787,541,1369.470615
456.587479,611,1374.09413
456.614481,594,1376.634449
456.873189,575,1380.975389
455.665334,568,1383.294696
454.478583,548,1387.245988
454.349577,595,1391.494481
452.905155,539,1393.705574
451.663452,532,1397.752821
456.751945,566,1400.292186
457.165809,583,1404.841695
453.771735,576,1407.308291
454.708039,550,1411.339725
455.898172,556,1413.488234
455.185126,555,1417.787596
451.710558,539,1420.131399
451.306236,542,1424.217539
455.392081,549,1428.835277
456.716014,577,1431.440832
453.240846,542,1436.064425
453.400595,549,1438.289916
452.660936,536,1442.677062
451.554243,528,1444.947597
452.623704,528,1449.329402
453.615222,552,1451.620533
451.363092,531,1455.868791
456.265491,590,1458.201906
452.483976,542,1462.182592
452.094364,534,1465.048452
452.150503,547,1469.811259
456.468829,562,1472.417501
452.277309,529,1476.227403
454.479707,571,1480.877575
454.962664,548,1483.222449
450.94228,521,1487.935285
453.939222,569,1490.142169
450.850802,511,1494.289229
456.486004,573,1496.693597
452.567181,533,1500.918165
452.420235,527,1503.062461
449.264722,500,1507.153712
453.305862,530,1509.354463
454.411386,543,1513.57502
450.793754,521,1515.784315
452.902902,541,1520.21023
452.876784,531,1522.203756
455.462005,587,1526.401109
452.320718,532,1528.783169
449.898683,509,1533.257636
452.386509,547,1536.039186
