#{"t_start": 1787137381.6571233, "env_id": "None"}
r,l,t
-48.320567,588,7.104893
-38.044979,395,8.458227
-55.858533,373,12.481278
-36.884141,588,14.97021
20.440023,2500,31.377939
-30.717419,1476,38.184388
28.351554,2500,52.215306
184.757997,2500,64.504709
126.49638,2500,77.883411
202.953297,2500,89.809471
149.36838,2241,101.654475
228.336003,2500,115.645706
-6.002684,1439,122.042211
198.035201,2023,133.071633
294.370779,2500,146.658219
255.741416,1880,157.041667
24.257739,847,161.758844
231.304915,2472,175.522898
294.615577,2500,189.425651
296.640568,2500,203.808408
142.270448,1821,217.188709
345.853964,2500,239.497359
332.452971,2500,257.014016
349.464378,2500,275.010007
380.724952,2500,290.485838
363.86981,2500,305.286416
203.318235,1090,313.601284
336.70942,2500,329.070716
380.2294,2500,343.999823
479.68631,2314,359.73292
341.905147,1537,368.774456
335.78963,2277,382.945246
353.096915,2386,399.281298
344.116515,2361,414.083562
397.820771,1982,426.327542
491.018534,1600,437.357845
395.970227,1836,447.276932
381.423789,1531,458.35991
502.37385,1048,464.455037
515.685114,1196,471.231125
179.951868,925,477.173901
353.738685,2303,490.654087
487.865813,1867,503.416868
341.125322,1956,516.407312
396.354938,2500,529.945173
358.958346,1817,539.944323
350.062931,2225,551.400825
480.817348,2065,562.71716
502.695957,1368,571.432676
517.909774,1216,577.529905
503.931643,983,582.874005
497.918396,1358,590.040382
485.192307,1804,601.115078
488.580025,929,606.779094
488.82086,880,611.902925
330.392666,2409,624.540118
504.306846,1005,630.137763
482.197899,2309,644.426628
453.844643,1626,655.301811
324.90478,1593,664.391777
480.326023,871,670.320406
478.137549,1002,677.070024
487.557542,865,683.344058
490.540149,1569,694.810031
350.50246,1446,703.330888
487.546969,876,708.727156
473.617826,1442,716.453493
504.964097,998,722.421288
485.167185,857,728.147475
477.641595,757,733.04765
489.366992,861,738.59165
485.791703,906,744.215918
487.53351,870,747.926458
487.245189,899,753.482715
476.521338,806,759.19699
491.524766,915,765.198461
478.789682,799,770.630448
473.36087,840,775.84369
469.52658,723,778.826246
473.755704,797,784.180592
477.307319,858,789.541527
468.952523,766,794.75421
478.740816,810,798.238344
472.574893,769,803.282497
470.298693,788,808.370976
472.532819,768,813.748292
471.805137,862,817.563637
463.031556,731,822.323
468.239083,749,827.434844
466.567261,744,832.300398
470.820774,831,835.615237
467.709043,738,840.655353
469.441092,770,846.108549
469.868891,720,850.784753
468.206937,677,853.568702
462.808316,671,858.4358
466.414591,700,863.422832
465.954984,737,866.665173
467.290344,754,871.965669
464.655127,730,876.953583
469.859881,742,882.153738
463.094061,724,885.229911
462.367613,656,889.876686
460.520195,722,894.953884
469.104556,723,898.203958
467.31316,697,903.069539
466.28777,671,907.863345
467.516644,694,910.968717
461.884282,645,915.198655
467.456031,676,920.083983
460.462824,631,922.969505
460.775517,634,927.691678
467.455941,664,930.554357
467.901584,683,935.23322
462.71816,669,940.078819
460.78571,639,942.554694
462.92157,672,947.28165
464.864722,676,952.083292
463.916372,661,954.596411
459.808895,643,959.178226
