#{"t_start": 1787136202.829855, "env_id": "None"}
r,l,t
-25.650924,381,6.174449
-90.147578,1333,13.806714
-14.91304,687,18.221642
-22.469656,1678,26.206061
-47.378291,1591,34.982059
60.404619,1493,41.921947
119.060658,2500,56.553836
207.448443,2500,73.539744
61.406278,2500,90.4337
186.564199,2500,102.599116
118.07659,2500,116.833853
240.024931,2284,131.315405
183.407547,2269,148.102866
227.077682,1512,157.674916
174.097938,2500,170.342019
231.267505,1970,187.276013
292.510127,2205,204.464193
43.819449,893,211.713461
312.150446,2500,231.191434
296.945062,2500,247.177068
374.84892,2500,261.320609
347.403623,2500,277.634861
345.599458,2500,292.480751
231.146013,2500,308.815039
466.788503,2226,322.670557
315.690786,2284,336.952484
344.067982,2500,354.98969
340.668601,2500,368.983676
378.370079,2500,382.83156
480.368502,2198,396.523801
373.223435,2500,413.703174
480.746506,1990,426.662591
496.770353,1959,438.886338
338.166746,2500,454.121073
518.662578,2116,470.940708
231.313297,1485,483.603193
353.108669,1538,493.791675
337.282988,2239,509.28805
357.183312,2500,524.201263
500.060394,1527,532.247543
492.816379,2421,546.253899
358.007074,2500,559.270807
500.323626,2098,570.376359
501.714156,1066,576.162208
335.092585,1807,586.964056
491.371416,1190,593.426005
508.131504,1070,600.141061
487.888953,948,605.978359
502.921707,1199,614.489321
483.706614,1863,627.049566
489.453161,1393,637.382417
503.431693,1051,644.578667
354.265804,2033,657.251257
489.200072,1729,667.20852
490.826292,898,673.2476
484.623223,914,680.174638
489.18438,1616,693.653546
498.05554,1397,700.576231
485.912452,920,705.903135
487.778288,920,711.133134
481.195382,1708,719.852183
497.610998,1884,731.512682
491.530123,1288,740.187839
487.015422,881,743.286484
478.160101,822,748.143449
486.176781,940,753.244259
487.681107,946,758.665829
485.097639,834,766.37335
486.870242,861,773.66046
458.884376,1460,782.358281
485.825016,836,787.582745
485.665841,907,793.668795
484.437791,862,800.059581
471.831553,766,803.646224
482.922577,862,808.816746
475.595483,782,813.563277
474.170553,785,818.527405
468.155513,755,823.500671
478.480704,795,826.676782
471.528249,846,831.707559
473.212649,768,836.491613
471.790771,803,841.386963
479.875706,827,844.861854
473.453092,792,850.101946
478.600259,798,855.394333
463.464632,991,860.824495
475.201185,787,866.037452
467.339259,734,869.183474
468.701991,708,873.994058
472.638922,753,878.947996
466.411414,689,883.998121
466.44896,711,888.627558
466.238708,697,894.053427
473.7761,754,899.344436
467.206398,712,903.139063
470.529442,743,908.451054
474.833956,790,916.2489
464.729811,750,922.824894
462.386452,656,925.930888
467.629804,724,932.610685
465.612845,679,938.766407
470.803445,738,942.608824
460.217491,662,948.978326
463.998081,675,955.54319
460.266203,631,958.754335
464.512838,679,964.836628
460.156168,620,969.997421
461.154825,648,973.323106
463.518747,748,979.509472
462.7759,655,985.482781
465.999776,718,989.030743
463.566834,695,996.085088
461.379852,662,1002.186726
460.223221,629,1005.515537
465.070946,682,1011.304203
467.891326,679,1016.921792
460.847113,618,1020.298886
464.424642,649,1026.158511
461.000224,629,1029.44828
456.410218,597,1035.09918
462.416979,641,1040.989025
461.710572,648,1044.475452
457.749185,599,1050.02402
461.807854,660,1053.704832
461.218511,627,1059.271688
458.880815,609,1065.007476
456.731139,597,1068.034018
454.332596,571,1073.408439
461.006885,619,1076.896044
459.107847,590,1082.448184
457.650757,610,1088.082225
456.437686,594,1091.19841
454.113506,559,1096.521727
459.531295,632,1099.580075
459.967532,613,1104.523779
457.520655,599,1107.451861
452.742768,563,1111.735777
456.872159,593,1115.907521
456.102698,681,1118.532568
454.364651,557,1122.591898
462.319825,645,1125.003682
460.798395,660,1129.012004
461.279541,665,1132.901967
460.380447,654,1135.579761
458.775001,626,1140.050002
455.918901,562,1144.211793
454.776021,560,1146.353616
458.45521,631,1150.342755
458.093667,594,1152.578336
456.871951,572,1156.907438
461.520263,631,1159.312025
