#{"t_start": 1787136202.8331661, "env_id": "None"}
r,l,t
-48.320567,588,6.970779
-38.044979,395,8.394237
-55.858533,373,12.307997
-36.884141,588,14.70368
20.440023,2500,29.234176
-30.717419,1476,35.992253
28.351554,2500,49.643312
184.757997,2500,64.922177
126.49638,2500,83.569018
202.953297,2500,96.557682
149.36838,2241,107.599543
228.336003,2500,123.038286
-6.002684,1439,132.223408
198.035201,2023,147.783947
294.370779,2500,161.057934
255.741416,1880,171.75582
24.257739,847,180.272137
231.304915,2472,201.332321
294.615577,2500,220.872782
296.640568,2500,236.739096
142.270448,1821,248.570417
345.853964,2500,264.795631
332.452971,2500,279.179262
349.464378,2500,295.575876
380.724952,2500,310.480455
363.86981,2500,325.980157
203.318235,1090,334.263216
336.70942,2500,349.687586
380.2294,2500,364.954572
479.68631,2314,379.683988
341.905147,1537,387.567135
335.78963,2277,400.95811
353.096915,2386,419.18267
344.116515,2361,433.375154
397.820771,1982,446.066159
491.018534,1600,457.45418
395.970227,1836,470.737337
381.423789,1531,483.617114
502.37385,1048,491.2036
515.685114,1196,499.561004
179.951868,925,506.71881
353.738685,2303,519.334513
487.865813,1867,530.399388
341.125322,1956,541.323295
396.354938,2500,554.064898
358.958346,1817,564.265049
350.062931,2225,575.986758
480.817348,2065,587.703662
502.695957,1368,597.015921
517.909774,1216,604.405581
503.931643,983,610.621272
497.918396,1358,619.835959
485.192307,1804,631.991412
488.580025,929,638.373902
488.82086,880,644.720824
330.392666,2409,658.987494
504.306846,1005,665.771616
482.197899,2309,681.140043
453.844643,1626,694.374049
324.90478,1593,702.155159
480.326023,871,707.163815
478.137549,1002,712.670934
487.557542,865,717.893053
490.540149,1569,728.549853
350.50246,1446,736.395514
487.546969,876,741.246501
473.617826,1442,748.270888
504.964097,998,753.560929
485.167185,857,758.69928
477.641595,757,766.007277
489.366992,861,773.261216
485.791703,906,779.736849
487.53351,870,783.493506
487.245189,899,788.776865
476.521338,806,795.066818
491.524766,915,801.167801
478.789682,799,806.690478
473.36087,840,811.643726
469.52658,723,814.317977
473.755704,797,819.27833
477.307319,858,824.753291
468.952523,766,829.600237
478.740816,810,832.758344
472.574893,769,837.512887
470.298693,788,842.395384
472.532819,768,847.672903
471.805137,862,851.230012
463.031556,731,856.092952
468.239083,749,860.62512
466.567261,744,865.638669
470.820774,831,869.193468
467.709043,738,874.133591
469.441092,770,879.13642
469.868891,720,884.52697
468.206937,677,888.84791
462.808316,671,894.127834
466.414591,700,899.205587
465.954984,737,903.088649
467.290344,754,908.466835
464.655127,730,915.976962
469.859881,742,922.489202
463.094061,724,925.944609
462.367613,656,932.228654
460.520195,722,938.667491
469.104556,723,942.339193
467.31316,697,948.966288
466.28777,671,955.51235
467.516644,694,959.158772
461.884282,645,964.923929
467.456031,676,970.360538
460.462824,631,973.642255
460.775517,634,979.276341
467.455941,664,983.022562
467.901584,683,988.546218
462.71816,669,995.111164
460.78571,639,999.310569
462.92157,672,1004.998674
464.864722,676,1010.950902
463.916372,661,1014.190479
459.808895,643,1019.861065
463.816768,643,1025.724891
461.35693,629,1028.994138
460.057409,618,1034.702573
460.71487,616,1038.269169
462.186924,640,1043.879848
460.099598,619,1049.60699
459.919446,616,1052.958775
458.492123,606,1058.358191
462.938405,667,1064.600378
453.951771,571,1067.412104
460.349013,622,1073.092059
463.211712,660,1076.766489
458.024936,592,1082.310804
459.146845,606,1087.952488
456.381801,583,1091.009423
458.03117,616,1096.634724
452.857579,565,1099.365958
458.784724,606,1104.353085
454.487432,577,1107.088977
459.697509,631,1111.709537
461.520021,629,1116.006534
462.485342,633,1118.439699
455.104646,564,1122.538268
457.184121,576,1124.728842
453.556618,571,1128.408235
458.470239,622,1132.172929
454.862758,569,1134.291831
463.669427,625,1138.837731
457.71829,593,1141.191498
453.176021,542,1145.275297
455.90929,567,1147.334411
457.385048,611,1151.316407
460.587813,622,1155.722346
452.363891,538,1157.887667
