#{"t_start": 1787136202.8283126, "env_id": "None"}
r,l,t
-55.328793,880,8.003568
-53.680742,369,11.931813
-17.225878,2500,24.729779
19.981892,2500,38.927264
73.066462,2500,50.862516
194.748487,2500,66.885335
212.535304,2500,84.917239
185.633613,2500,97.689517
196.23718,2500,111.412673
242.018805,2500,125.675344
39.67835,1459,138.799911
262.78999,2500,153.738438
305.356183,2454,168.26193
192.681158,2279,186.010381
287.359977,2500,204.679993
285.438934,2500,227.346152
360.043042,2500,241.140655
330.648894,2500,258.033778
339.661563,2500,272.021811
331.469833,2500,286.788261
347.749449,2500,302.892536
338.291952,2500,317.612642
236.030814,2500,335.199923
263.808951,2500,350.737242
319.936337,2447,367.344662
371.236037,2500,381.030315
492.803399,1668,391.078358
394.866999,2500,406.539976
332.100634,2378,422.212921
299.784316,1503,432.672218
499.757202,1171,439.465453
401.400362,2431,454.473269
376.305437,2500,475.428081
511.07842,1161,484.241313
374.231236,1532,494.541507
496.348595,1069,502.399357
524.126008,1317,512.376762
400.740925,2500,525.322399
511.152789,1134,531.803528
480.180727,2018,542.7323
488.380465,1312,551.052259
500.91842,1735,559.40832
498.662512,2091,570.510846
503.303646,1205,576.778063
467.210524,1735,587.308624
498.040337,978,592.97363
497.429229,1277,600.582496
501.272589,973,606.45275
496.294039,1010,614.104901
504.437344,1421,624.768137
482.733163,1500,633.448253
490.068188,959,639.923834
345.535361,2233,653.971448
497.650674,1002,660.420485
497.317831,979,667.008413
492.228877,1189,674.737133
496.10211,1453,686.395913
495.714626,1030,694.405432
485.907029,1603,702.246664
491.005865,1298,710.639316
350.012293,1476,718.11783
501.697262,1621,728.95068
460.054272,1788,737.921539
492.008823,1383,746.507485
480.237356,1095,752.236814
492.20827,928,757.256851
488.921046,853,764.642663
480.537117,842,769.483248
482.270388,870,776.319528
488.073197,899,782.328407
494.731124,913,787.814524
474.679205,791,793.395572
489.910421,884,799.949237
481.74438,835,803.835478
476.440357,822,808.838785
476.862841,775,813.553301
476.008123,751,818.392093
479.777993,877,823.867872
464.316149,922,829.283199
475.510947,770,832.268361
482.231207,862,837.390152
478.757775,853,842.570441
474.805469,793,847.922635
466.896913,782,851.139557
473.717594,792,856.228686
470.478474,825,861.074707
468.030895,748,866.162452
469.317813,733,869.29064
473.035933,787,874.420792
467.12427,740,879.296285
465.722467,685,884.572521
470.811485,731,889.170736
470.116782,704,894.491817
470.183305,726,899.758207
465.89181,723,903.681813
467.629414,681,908.670232
469.702703,703,916.004739
460.952505,711,922.364409
459.458272,665,925.472954
464.400284,684,931.970251
471.72497,838,938.951138
468.192071,706,942.641024
468.522186,695,949.171752
472.190609,735,956.018443
466.370289,697,959.84436
467.855548,689,965.671943
464.470655,671,971.006951
464.167396,699,974.794557
458.539847,623,980.448713
459.708537,622,986.013447
463.703739,677,989.517628
464.476004,688,996.583725
457.86289,608,1002.293755
458.416525,613,1005.516357
464.567534,669,1011.255203
456.372887,612,1014.354095
458.999016,630,1019.941671
466.778156,674,1025.959316
461.560329,637,1029.286612
462.267956,633,1035.108053
463.330091,684,1041.206618
460.730397,637,1044.698677
457.711346,663,1050.524148
456.743867,600,1053.925796
458.066239,591,1059.280103
454.862004,573,1064.859721
461.442981,630,1068.025077
460.264361,621,1073.607461
460.007892,639,1077.327588
460.523707,640,1083.056427
458.877252,627,1088.859092
463.755756,661,1092.361705
459.4045,618,1097.617903
461.616491,616,1103.232435
459.616013,638,1105.750551
455.717686,587,1110.489182
458.697448,605,1113.024766
455.833868,577,1116.976948
459.136216,603,1119.447964
458.740875,594,1123.500283
457.470967,594,1127.415554
453.076797,569,1129.359875
456.132544,596,1133.011087
455.846351,575,1135.370024
463.68444,652,1139.9698
464.297452,674,1144.581781
457.316756,589,1146.755222
457.543746,582,1150.609159
454.655017,588,1152.899123
457.635396,591,1157.230963
