#{"t_start": 1787136202.8309355, "env_id": "None"}
r,l,t
-57.821831,461,6.48753
-59.139249,365,7.803233
-65.745728,464,12.068791
-61.374772,361,13.539502
-54.670067,493,17.312731
-38.422037,2108,28.570883
-54.782448,462,30.094491
-50.70486,2500,43.755924
88.607145,2500,56.803393
116.78486,2500,73.844257
142.439654,2500,90.624387
206.652449,2500,102.793994
223.896793,2500,117.038203
249.302294,2500,132.814909
226.062897,2211,148.804805
284.787709,2500,164.113881
318.717542,2500,180.660473
143.548432,1244,189.920031
257.118927,2145,209.111895
315.507059,2500,228.906743
357.992992,2500,243.170896
349.063267,2500,259.361037
266.274859,1779,270.681319
357.565726,2500,285.192467
66.4549,2256,298.202054
367.098681,2500,315.482215
343.236118,2500,331.00579
219.423795,1520,341.58215
492.736159,2099,355.802925
340.972937,2500,369.598888
352.168096,2500,385.338619
362.620156,2284,397.676708
352.044149,2029,412.731354
42.511172,637,415.790091
348.575276,1491,426.279365
498.712105,1363,434.001201
501.893561,1241,441.42421
290.525759,2500,459.695641
357.363268,1726,474.070359
378.809507,1729,485.689224
367.342203,2013,500.460394
131.561047,774,506.82143
336.810252,1761,517.566677
496.023076,1765,525.921649
496.490969,1106,532.377375
508.592878,1529,541.54395
511.921295,1688,551.139792
485.22726,2326,563.435986
511.052638,1148,569.274651
374.290759,2248,581.5663
498.162641,1690,591.783204
507.860456,1064,598.151783
492.352789,1480,606.378845
489.109678,970,613.814163
499.754731,1109,621.11212
491.542528,963,627.503029
492.685786,921,633.526549
503.881625,1872,646.373011
271.004128,2458,661.179183
482.803199,1529,672.208648
501.471979,1260,680.689487
489.942531,1550,693.794688
475.552148,1433,700.824073
332.331462,2443,713.707482
484.076497,877,718.990958
479.590931,954,725.293092
366.359697,1983,737.071857
478.23501,790,741.606315
484.920568,1464,748.72473
484.985903,1021,754.103081
479.049097,812,759.275744
484.882577,989,767.842581
488.396493,910,775.022134
483.492944,855,781.173169
481.846883,815,786.44934
477.742467,812,789.507895
476.520159,793,796.013727
480.561351,802,801.433048
473.647569,884,807.284831
471.600805,810,812.122418
472.667798,772,815.02844
476.206426,810,820.036015
479.81152,832,825.325387
471.70588,817,830.345019
486.645364,890,835.707412
475.871146,800,838.70631
474.757533,778,843.604181
469.621759,782,848.965106
471.297266,737,854.036634
473.42538,821,857.123301
467.892756,738,861.761429
466.730766,678,866.516791
468.655587,818,871.909842
471.366756,782,875.241456
468.332703,768,880.09079
466.340639,771,886.415148
474.286504,757,892.832262
465.765829,691,895.995569
465.634918,665,900.974808
468.763633,726,906.40784
466.573962,712,910.420564
467.59599,729,917.492817
470.552857,730,923.796051
468.052356,749,930.483541
461.80833,646,934.024444
462.568116,656,939.792289
467.481977,687,945.910391
463.493669,677,950.063298
464.860297,677,956.507571
461.467034,676,960.17889
466.491689,696,966.01366
464.168391,653,971.251019
462.988625,682,975.025727
465.99452,666,980.877066
461.944148,636,986.509755
466.507355,697,990.183901
462.952927,650,997.107691
461.611134,650,1002.918207
464.834418,665,1006.474622
461.69471,642,1011.897931
466.649151,671,1017.62522
463.450284,651,1021.16106
463.643509,642,1026.838214
462.123644,665,1032.896611
461.299129,673,1036.518572
462.864978,643,1042.233692
463.183409,667,1046.150305
457.491006,592,1051.463542
461.330811,648,1057.22924
457.930203,602,1060.581161
464.653482,661,1066.437071
460.822851,628,1072.074013
458.122503,629,1075.556886
459.362771,662,1081.45103
458.71798,611,1084.833346
463.346891,638,1090.558612
458.925423,618,1096.179319
455.623926,573,1099.01242
460.106183,640,1104.213136
458.133483,594,1106.921934
455.14803,578,1111.335382
456.048331,581,1115.54858
455.946467,587,1117.73017
459.765569,666,1122.231005
454.52087,570,1124.436474
454.646371,566,1128.095397
454.734027,563,1130.034337
454.201887,560,1133.666312
462.822283,658,1138.371005
459.761254,608,1140.794647
456.988717,575,1144.997591
457.378071,605,1147.201885
454.816237,566,1151.021593
458.232167,595,1153.46249
455.33967,596,1157.70079
